point,plants_in_1MM2,plants_until_next_point,altitude,latitude,longitude
A8,1,9,269.774475,32.918057,35.532782
A9,6,14,269.161438,32.918111,35.532762
A10,2,8,268.042328,32.918141,35.532753
A11,9,20,268.065002,32.918162,35.532734
A13,4,21,265.523254,32.918258,35.532732
A14,8,8,265.569275,32.918278,35.532714
A17,9,49,263.782684,32.918354,35.532705
A18,9,12,262.996338,32.918383,35.532686
A19,2,11,260.843018,32.918436,35.532696
A20,1,3,259.64389,32.918466,35.53269
A21,2,15,258.097534,32.9185,35.53267
A22,2,21,257.155792,32.918527,35.532694
A25,6,2,254.142395,32.918666,35.532645
A28,0,0,251.979919,32.918804,35.532629
A29,8,47,251.988098,32.918807,35.532646
A31,11,42,248.03595,32.918883,35.532639
A32,24,53,249.35939,32.918912,35.532608
A35,10,47,247.484879,32.919058,35.532609
A39,7,4,247.65683,32.919172,35.532631
A41,2,404,248.250107,32.919303,35.532563
A46,55,97,250.390121,32.919442,35.532563
A47,12,58,251.364975,32.919461,35.532585
A48,35,83,251.441467,32.91948,35.532575
A49,14,18,251.399948,32.919497,35.532576
A51,14,33,254.792465,32.919567,35.532579
A52,5,47,252.559357,32.919598,35.532552
A54,2,3,254.900055,32.919659,35.532561
A56,5,54,258.291748,32.9197,35.532563
A57,58,97,258.071533,32.919743,35.532548
A59,25,208,259.146393,32.919788,35.532489
A63,2,231,261.776764,32.919993,35.532465
A72,22,97,276.924683,32.920352,35.532353
A74,29,100,276.619934,32.920438,35.532357
A76,15,25,275.794098,32.920503,35.53239
A77,14,100,276.078278,32.920518,35.532379
A81,4,10,278.216553,32.920612,35.532368
A82,2,,278.223785,32.920644,35.532336
