sample,dgg,block,germination_date,coleptile_colour,erect_1_5,pigment_1_3,anthesis_date,main_length,main_flag_leaf_width,main_number_of_spikes,number_of_tillers,spike_angle_1_3,weight_10_seeds,seed_area,seed_length,seed_width
2002A10,G1,1,345,1,2,2,477,87.5,-0.10536051565782628,13,4,1,0.3067,27.3511,11.618,3.3307
1992A35,G10,1,NA,NA,2,1,475,102.5,0,14,6,3,0.4187,22.0361,10.6593,2.9394
2014A35,G98,1,347,0,1,2,480,80.5,-0.10536051565782628,15,3,3,0.5288,21.9143,10.7057,2.9054
2014A57,G100,1,346,1,5,2,487,83,-0.10536051565782628,15,3,2,0.3691,32.6567,13.0023,3.5638
2014D194,G87,1,345,0,1,1,475,96.5,0.09531017980432493,12,4,3,0.4823,25.7175,11.976,3.0702
2018D220,G101,1,346,1,1,2,481,91.5,-0.2231435513142097,14,3,2,0.4448,NA,NA,NA
2018A35,G102,1,NA,NA,1,1,488,80,-0.2231435513142097,15,4,3,0.3566,22.9821,10.8186,2.9333
2016A41,G103,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3933,11.3584,3.1733
2018A51,G104,1,349,1,2,2,482,82,-0.10536051565782628,14,4,1,0.4192,26.2338,12.7533,3.031
2016B124,G106,1,NA,NA,2,2,486,68,-0.2231435513142097,11,4,3,0.419,NA,NA,NA
1992A77,G11,1,NA,NA,3,2,476,98.5,0.3364722366212129,16,4,2,0.416,23.5861,11.1849,2.9692
2018C151,G107,1,NA,NA,5,1,478,95,0.1823215567939546,13,7,3,0.4246,25.6926,11.8346,3.051
2016D212,G108,1,350,1,2,2,483,87,-0.35667494393873245,15,4,1,0.3863,NA,NA,NA
2016D217,G109,1,345,1,3,3,484,80,0,11,5,1,0.3834,24.2271,11.4169,2.9404
2018B116,G110,1,353,1,2,2,486,74,-0.10536051565782628,15,4,3,0.4335,22.8626,10.6,3.0266
2018B142,G111,1,349,0,1,2,486,76.5,-0.10536051565782628,16,4,2,0.3832,21.3423,11.3304,2.7381
1984A41,G12,1,345,1,1,2,484,71,-0.10536051565782628,13,4,3,0.4507,25.1946,11.8692,3.0186
2002A47,G13,1,NA,NA,3,2,480,78,0.1823215567939546,11,5,2,0.4256,24.3163,11.5196,3.0025
1992A54,G14,1,345,1,2,3,482,72,-0.35667494393873245,14,4,1,0.3782,22.6625,11.9978,2.731
1984A56,G15,1,NA,NA,3,3,483,93,-0.10536051565782628,13,4,3,0.3618,22.7657,11.1496,2.8386
2002A59,G16,1,346,0,5,2,472,100.5,0.6418538861723947,13,4,1,0.6104,29.0352,11.7662,3.6185
1988A41,G17,1,NA,NA,2,2,486,73.5,-0.2231435513142097,15,5,2,0.3422,22.7587,10.9203,2.9067
1984A9,G18,1,345,1,2,2,484,68.5,0,12,4,3,0.4453,26.0338,11.4874,3.2181
2014B131,G19,1,345,1,1,3,488,72,-0.6931471805599453,13,6,2,0.3871,23.3592,10.6495,3.0962
1984A12,G2,1,345,1,4,2,487,95,0.1823215567939546,16,3,1,0.4458,24.7354,10.9581,3.251
1988B133,G20,1,349,1,3,3,485,92.5,-0.2231435513142097,14,4,2,0.4105,24.4292,11.4778,3.0716
1984B113,G22,1,345,1,4,2,485,87,0.09531017980432493,14,4,3,0.4784,26.8353,12.3913,3.1113
1984B116,G23,1,345,1,1,2,482,76,-0.10536051565782628,13,6,2,0.394,21.2088181818182,11.474,2.66127272727273
2002D221,G25,1,NA,NA,1,2,483,77,-0.10536051565782628,16,4,1,0.4465,24.9627,12.3019,2.9199
1984B142,G27,1,NA,NA,1,2,480,86,-0.5108256237659907,15,3,3,0.4355,24.8655,12.1123,2.916
1984C156,G28,1,349,1,1,2,484,75,0,13,4,1,0.483,26.0935,11.431,3.3103
1984C159,G29,1,NA,NA,2,1,482,79.5,-0.10536051565782628,15,3,2,0.3956,23.683,11.8065,2.9115
1984A29,G3,1,345,1,1,2,484,66.5,-0.10536051565782628,19,3,3,0.3909,21.9613,10.7274,2.8632
2002C168,G30,1,345,0,2,2,474,99,0.1823215567939546,16,3,3,0.3931,21.6658,10.3344,2.9684
1984C173,G31,1,NA,NA,2,2,487,73,-0.10536051565782628,12,3,3,0.3935,23.0656,11.5978,2.9432
1984D215,G32,1,347,0,2,2,492,70,0,15,6,1,0.3,21.0463,11.104,2.7229
1984D220,G33,1,NA,NA,2,2,481,85,0,14,3,1,0.4952,26.8316,12.9054,3.0093
1984D227,G34,1,345,1,2,3,483,83,0,15,3,1,0.4428,25.4592,12.0031,3.038
1988A11,G36,1,NA,NA,2,2,484,67.5,0.09531017980432493,15,4,2,0.4103,23.3683,11.9058,2.9006
1988A12,G37,1,NA,NA,2,2,486,84.5,-0.5108256237659907,15,5,2,0.3918,25.0173,11.7749,3.1333
1988A14,G38,1,346,1,2,2,481,89,0,14,4,1,0.4756,23.9529,11.8312,2.9773
1988A19,G39,1,NA,NA,1,1,480,79,-0.10536051565782628,15,4,3,0.413,22.9392,11.4476,2.8699
1984A14,G4,1,339,1,1,2,490,73.5,0,15,4,1,0.4614,26.4214,11.5408,3.2063
1988A21,G41,1,351,1,2,2,482,86,-0.2231435513142097,12,3,3,0.4235,26.0722,11.7021,3.0908
1988A25,G42,1,NA,NA,1,1,481,61,-0.10536051565782628,13,5,1,0.351,22.2659,11.0748,2.8258
2018B92,G43,1,NA,NA,4,2,475,86.5,-0.10536051565782628,12,5,3,0.4709,24.6462,11.1306,3.1035
1988A32,G44,1,348,1,2,2,479,81.5,-0.10536051565782628,13,6,3,0.3963,20.4704,10.9274,2.69
2014D198,G45,1,NA,NA,5,2,480,91,0.4054651081081644,16,4,3,0.3712,22.6701111111111,10.2085555555556,3.13977777777778
1996A81,G46,1,346,1,1,2,481,74.5,-0.35667494393873245,11,4,1,0.4432,25.4005,12.2812,3.0123
1988A48,G48,1,345,1,1,2,481,75.5,-0.10536051565782628,16,3,3,0.4396,24.7908,11.0212,3.2203
1988A49,G49,1,346,0,2,3,482,100,-0.10536051565782628,14,4,1,0.4477,25.3582,12.1932,2.9535
1988A52,G50,1,348,1,3,3,488,72,0,14,4,2,0.4025,26.762,11.7985,3.2316
1988A57,G51,1,NA,NA,4,1,476,86,0,16,3,3,0.4746,25.2569,11.3362,3.1684
2002A63,G52,1,NA,NA,4,1,476,97,0.4054651081081644,16,6,3,0.4751,22.6966,10.6581,2.9807
1988A74,G53,1,346,1,3,2,476,81,-0.2231435513142097,11,5,3,0.4146,22.6328,11.4756,2.735
1988A76,G54,1,NA,NA,2,2,487,72,-0.35667494393873245,16,4,3,0.4521,24.1114,11.5245,3.0058
1988B101,G56,1,345,0,5,2,470,83,0.09531017980432493,15,3,3,0.5228,25.9344444444444,10.8538888888889,3.38477777777778
1988B102,G57,1,345,0,1,1,485,81.5,0,16,4,3,0.4225,24.2746666666667,11.2274444444444,3.13533333333333
1988B106,G58,1,NA,NA,1,1,482,71,-0.2231435513142097,13,4,1,0.4455,26.4856,12.2416,3.019
1984A22,G6,1,344,1,2,2,479,82.5,-0.10536051565782628,14,3,2,0.4195,22.4685,11.0167,2.8685
1988B111,G60,1,345,1,3,2,483,75,-0.2231435513142097,14,4,3,0.4467,23.7122,11.377,2.962
1988B113,G61,1,346,1,2,2,482,95,-0.10536051565782628,15,4,3,0.4021,22.9559,10.7667,3.0282
1988B114,G62,1,346,1,2,2,480,94,-0.10536051565782628,14,5,1,0.4316,24.5172,11.2074,3.0208
1988B120,G63,1,346,1,1,2,487,64.5,-0.10536051565782628,14,4,3,0.4195,25.0483,11.7208,3.0237
2014B132,G64,1,345,1,3,3,484,85,-0.2231435513142097,12,5,2,0.493,23.891,12.2022727272727,2.79154545454545
2014A31,G65,1,346,1,2,2,485,80,-0.10536051565782628,14,3,3,0.4308,22.1961818181818,11.6478181818182,2.75409090909091
1996D196,G66,1,346,1,5,1,481,91.5,0.09531017980432493,15,3,3,0.4853,28.055,12.93,3.1306
